"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm"
"scheima9320152016","Mark.Scheifele","C","WPG",71,20152016,22,"0.833","0.863",29,32,61,1.31,1.45,2.76,7,58.22,101.2,14.95,12.07,18.69
"schenbr9120152016","Brayden.Schenn","LC","PHI",86,20152016,24,"2.750","2.500",26,35,61,1.06,1.43,2.5,8,59.03,103.04,13.83,22.12,17.04
"schenlu8920152016","Luke.Schenn","D","PHI/L.A",77,20152016,25,"3.350","3.600",5,13,18,0.22,0.57,0.79,-13,45.92,99.19,6.17,-10.4,17.79
"schleda8720152016","David.Schlemko","D","N.J",67,20152016,28,"0.625","0.625",6,13,19,0.29,0.62,0.91,0,51.48,96.44,5.77,21.87,18.7
"schmina9120152016","Nate.Schmidt","D","WSH",82,20152016,24,"0.750","0.812",2,15,17,0.08,0.64,0.72,11,47.78,100.17,2.3,3.66,17.23
"schneco9020152016","Cole.Schneider","RL","BUF",2,20152016,25,"0.700","0.700",0,0,0,0,0,0,0,51.22,100,0,-19.68,12.58
"schrojo9020152016","Jordan.Schroeder","CR","MIN",28,20152016,24,"0.600","0.600",3,2,5,0.67,0.45,1.12,-1,45.55,103.19,9.38,-3.88,9.54
"schulje8620152016","Jeff.Schultz","D","L.A",1,20152016,29,"0.850","0.850",0,0,0,0,0,0,1,41.38,83.33,0,-36.97,17.19
"schulju9020152016","Justin.Schultz","D","PIT/EDM",66,20152016,25,"3.900","3.900",4,14,18,0.2,0.71,0.91,1,51.11,98.14,4.55,8.11,18.03
"schulni8220152016","Nick.Schultz","D","PHI",87,20152016,33,"2.250","2.250",1,9,10,0.04,0.34,0.38,-12,39.39,98.85,1.39,-29.91,18.01
"schwaja9220152016","Jaden.Schwartz","LC","STL",47,20152016,23,"2.700","2.350",11,22,33,0.81,1.61,2.42,0,55.05,103.76,12.36,32.24,17.4
"scottjo8220152016","John.Scott","LD","ARI/MTL",12,20152016,32,"0.575","0.575",0,1,1,0,0.78,0.78,-1,49.52,95.45,0,-5.34,6.39
"scudero7820152016","Rob.Scuderi","D","PIT/L.A/CHI",68,20152016,36,"3.000","3.375",0,10,10,0,0.56,0.56,2,42.58,101.06,0,-7.11,15.73
"seabrbr8520152016","Brent.Seabrook","D","CHI",88,20152016,30,"5.000","5.800",15,36,51,0.44,1.05,1.49,-14,50.37,102.49,8.24,14.43,23.34
"sedinda8020152016","Daniel.Sedin","L","VAN",82,20152016,34,"7.000","7.000",28,33,61,1.12,1.32,2.44,-3,56.83,102.4,10.85,24.71,18.29
"sedinhe8020152016","Henrik.Sedin","C","VAN",74,20152016,34,"7.000","7.000",11,44,55,0.48,1.94,2.42,-1,57.04,101.94,11.11,23.66,18.43
"seguity9220152016","Tyler.Seguin","CR","DAL",73,20152016,23,"6.000","5.750",33,40,73,1.39,1.69,3.08,8,61.09,100.41,11.83,22.14,19.5
"seidede8120152016","Dennis.Seidenberg","D","BOS",61,20152016,34,"4.500","4.000",1,11,12,0.05,0.56,0.61,-8,42.93,99.55,1.52,-4.62,19.37
"sekacji9220152016","Jiri.Sekac","C","ARI/ANA/CHI",39,20152016,23,"0.925","0.925",1,5,6,0.13,0.67,0.81,3,56.42,97.51,2.04,14.64,11.41
"sekeran8620152016","Andrej.Sekera","D","EDM",81,20152016,29,"6.500","5.500",6,24,30,0.2,0.81,1.02,1,51.04,98.15,3.87,2.65,21.82
"selleer8720152016","Eric.Selleck","L","ARI",1,20152016,27,"0.575","0.575",0,0,0,0,0,0,0,38.89,100,0,-16.25,9.24
"seminal8420152016","Alexander.Semin","R","MTL",15,20152016,31,"1.100","1.100",1,3,4,0.32,0.95,1.27,-4,60.11,100.36,5.56,28.64,12.63
"sestito8720152016","Tom.Sestito","L","PIT",4,20152016,27,"NA","NA",0,1,1,0,2.62,2.62,-1,31.25,120,0,20.07,5.72
"severda9420152016","Damon.Severson","D","N.J",72,20152016,21,"0.575","0.606",1,20,21,0.05,0.93,0.97,-3,51.49,100.37,1.06,19.24,18.01
"sgarbmi9220152016","Michael.Sgarbossa","C","ANA",1,20152016,23,"0.605","0.605",0,0,0,0,0,0,0,71.43,100,NA,58.14,7.76
"sharppa8120152016","Patrick.Sharp","L","DAL",89,20152016,33,"5.500","5.900",24,37,61,0.9,1.39,2.3,-2,59.54,99.76,9.02,20.93,17.9
"shattke8920152016","Kevin.Shattenkirk","D","STL",86,20152016,26,"4.300","4.250",16,38,54,0.51,1.2,1.71,-8,52.83,100.44,7.58,19.25,22.03
